match_id,season,datum,liga,heimmannschaft,gastmannschaft,score_home,score_away,result
4645719,2025,2025-08-02,pl,15446,49621,5.0,1.0,win_home
4645720,2025,2025-08-02,pl,17574,8650,1.0,0.0,win_home
4645723,2025,2025-08-02,pl,5504,18051,6.0,0.0,win_home
4645724,2025,2025-08-02,pl,13544,48428,3.0,1.0,win_home
4645725,2025,2025-08-02,pl,2074,2155,2.0,0.0,win_home
4645726,2025,2025-08-02,pl,3530,5508,0.0,0.0,draw
4645727,2025,2025-08-02,pl,2772,1277,2.0,2.0,draw
4645722,2025,2025-08-03,pl,5501,2053,2.0,3.0,win_away
4645721,2025,2025-08-06,pl,5494,5299,1.0,1.0,draw
4645890,2025,2025-08-09,pl,15446,2772,3.0,0.0,win_home
4645891,2025,2025-08-09,pl,18051,2074,1.0,1.0,draw
4645893,2025,2025-08-09,pl,8650,3530,3.0,1.0,win_home
4645894,2025,2025-08-09,pl,5508,13544,4.0,2.0,win_home
4645895,2025,2025-08-09,pl,48428,5494,7.0,5.0,win_home
4645896,2025,2025-08-09,pl,5299,5501,4.0,4.0,draw
4645897,2025,2025-08-09,pl,1277,5504,3.0,0.0,win_home
4645898,2025,2025-08-09,pl,49621,2053,3.0,4.0,win_away
4645892,2025,2025-08-10,pl,2155,17574,3.0,1.0,win_home
4667711,2025,2025-08-16,pl,13544,8650,3.0,1.0,win_home
4667712,2025,2025-08-16,pl,5494,5508,0.0,4.0,win_away
4667713,2025,2025-08-16,pl,5501,48428,1.0,1.0,draw
4667714,2025,2025-08-16,pl,2053,5299,2.0,3.0,win_away
4667706,2025,2025-08-20,pl,2772,49621,2.0,2.0,draw
4667709,2025,2025-08-20,pl,17574,18051,2.0,3.0,win_away
4667733,2025,2025-08-23,pl,49621,5299,1.0,1.0,draw
4667734,2025,2025-08-23,pl,48428,2053,3.0,3.0,draw
4667735,2025,2025-08-23,pl,5508,5501,0.0,3.0,win_away
4667736,2025,2025-08-23,pl,8650,5494,3.0,1.0,win_home
4667738,2025,2025-08-23,pl,18051,3530,0.0,0.0,draw
4667740,2025,2025-08-23,pl,15446,2074,4.0,5.0,win_away
4667741,2025,2025-08-23,pl,2772,5504,2.0,1.0,win_home
4711429,2025,2025-08-23,pl,13544,2155,2.0,0.0,win_home
4667739,2025,2025-08-24,pl,1277,17574,1.0,1.0,draw
4667707,2025,2025-08-27,pl,5504,15446,3.0,5.0,win_away
4667708,2025,2025-08-27,pl,2074,1277,2.0,1.0,win_home
4667710,2025,2025-08-27,pl,3530,2155,1.0,3.0,win_away
4667742,2025,2025-08-30,pl,5504,49621,2.0,1.0,win_home
4667743,2025,2025-08-30,pl,2074,2772,5.0,1.0,win_home
4667744,2025,2025-08-30,pl,17574,15446,1.0,0.0,win_home
4667746,2025,2025-08-30,pl,13544,18051,4.0,1.0,win_home
4667747,2025,2025-08-30,pl,5494,2155,1.0,4.0,win_away
